"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;04.01.2010;1346,8;1372,4;1341,6;1369,6
GC3-067;05.01.2010;1369,8;1377,4;1363,3;1365,9
GC3-067;06.01.2010;1366,3;1388,8;1364,6;1386,8
GC3-067;07.01.2010;1386,8;1387,3;1376,5;1379,6
GC3-067;08.01.2010;1379,3;1387,8;1367,3;1386,5
GC3-067;11.01.2010;1386,8;1410,8;1386,8;1399,6
GC3-067;12.01.2010;1399,8;1406,1;1372,1;1376,1
GC3-067;13.01.2010;1376,8;1386,7;1366,3;1385,2
GC3-067;14.01.2010;1385,7;1394,5;1378,5;1389,8
GC3-067;15.01.2010;1389,8;1393,8;1374,3;1378,5
GC3-067;18.01.2010;1378,5;1385,5;1375,3;1381,2
GC3-067;19.01.2010;1381,6;1388,5;1376,6;1386,0
GC3-067;20.01.2010;1386,3;1389,5;1354,6;1359,5
GC3-067;21.01.2010;1360,2;1365,2;1335,8;1342,1
GC3-067;22.01.2010;1343,2;1346,7;1329,7;1340,3
GC3-067;25.01.2010;1341,3;1351,8;1340,0;1345,6
GC3-067;26.01.2010;1345,7;1351,0;1333,0;1345,7
GC3-067;27.01.2010;1345,2;1349,9;1330,8;1336,0
GC3-067;28.01.2010;1335,6;1343,5;1321,0;1333,3
GC3-067;29.01.2010;1332,8;1338,6;1322,3;1329,6
GC3-067;01.02.2010;1329,8;1356,7;1325,1;1355,3
GC3-067;02.02.2010;1355,2;1367,8;1347,4;1363,3
GC3-067;03.02.2010;1363,7;1374,3;1355,4;1359,5
GC3-067;04.02.2010;1358,0;1359,9;1306,9;1313,7
GC3-067;05.02.2010;1313,6;1317,3;1292,4;1314,7
GC3-067;08.02.2010;1316,2;1322,2;1309,7;1311,0
GC3-067;09.02.2010;1310,3;1331,7;1310,0;1326,7
GC3-067;10.02.2010;1326,5;1330,9;1311,0;1320,3
GC3-067;11.02.2010;1321,7;1346,3;1320,8;1341,2
GC3-067;12.02.2010;1342,5;1345,6;1326,0;1342,0
GC3-067;15.02.2010;1341,6;1350,9;1339,9;1349,1
GC3-067;16.02.2010;1349,7;1369,8;1346,5;1367,3
GC3-067;17.02.2010;1367,7;1376,6;1353,4;1356,9
GC3-067;18.02.2010;1356,2;1372,7;1346,0;1357,8
GC3-067;19.02.2010;1356,3;1375,3;1347,2;1366,7
GC3-067;22.02.2010;1370,0;1379,4;1357,9;1362,3
GC3-067;23.02.2010;1362,0;1369,6;1347,5;1351,1
GC3-067;24.02.2010;1351,4;1356,7;1338,1;1344,4
GC3-067;25.02.2010;1344,1;1357,9;1336,4;1355,4
GC3-067;26.02.2010;1355,9;1367,4;1352,5;1366,3
GC3-067;01.03.2010;1366,9;1371,8;1360,0;1365,4
GC3-067;02.03.2010;1365,9;1386,2;1362,9;1382,4
GC3-067;03.03.2010;1382,4;1393,7;1380,7;1388,3
GC3-067;04.03.2010;1387,7;1390,2;1373,8;1380,2
GC3-067;05.03.2010;1380,8;1389,1;1375,4;1383,1
GC3-067;08.03.2010;1383,9;1385,9;1366,4;1372,5
